order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00000048,28-05-2023,P0015,S061,C010303,3,13.55,0,40.65,22.69,17.96
0RD00000049,02-11-2023,P0088,S096,C003027,1,7.49,0,7.49,4.86,2.63
0RD00000050,10-02-2023,P0065,S095,C007938,3,14.04,0.15,35.8,20.1,15.7
0RD00000051,26-10-2023,P0022,S071,C023477,2,7.31,0.1,13.16,6.63,6.52
0RD00000052,31-03-2023,P0092,S091,C008405,3,9.12,0,27.36,14.22,13.14
0RD00000053,31-12-2024,P0195,S094,C024141,1,7.93,0.2,6.34,3.26,3.08
0RD00000054,24-02-2023,P0150,S097,C005439,3,11.5,0,34.5,22.53,11.97
0RD00000055,01-06-2023,P0087,S021,C024854,2,10.77,0.15,18.31,11.27,7.04
0RD00000056,28-11-2024,P0080,S090,C040441,4,5.28,0,21.12,12.92,8.2
0RD00000057,03-08-2024,P0099,S023,C030186,3,13.51,0.15,34.45,23.38,11.07
0RD00000058,20-11-2024,P0168,S027,C024855,4,3.73,0,14.92,8.94,5.98
0RD00000059,16-11-2023,P0029,S056,C001580,5,9.28,0,46.4,26.58,19.82
0RD00000060,07-08-2023,P0170,S065,C015226,4,11.27,0,45.08,30.66,14.42
0RD00000061,09-08-2023,P0033,S010,C015434,3,3.9,0,11.7,7.26,4.44
0RD00000062,26-09-2023,P0100,S049,C011306,1,7.76,0,7.76,5.02,2.74
0RD00000063,29-12-2024,P0114,S090,C043362,3,6.08,0,18.24,10.57,7.67
0RD00000064,28-06-2024,P0048,S020,C038553,2,8.39,0.15,14.26,7.98,6.28
0RD00000065,26-03-2023,P0116,S099,C033011,2,3.9,0.1,7.02,4.57,2.45
0RD00000066,14-05-2023,P0078,S003,C044659,3,13.58,0,40.74,25.4,15.34
0RD00000067,21-02-2023,P0175,S044,C007361,4,11.8,0,47.2,27.89,19.31
0RD00000068,27-12-2023,P0068,S067,C018017,2,10.42,0,20.84,13.49,7.35
0RD00000069,08-06-2024,P0148,S083,C030006,1,13.78,0.1,12.4,8.2,4.2
0RD00000070,27-03-2023,P0144,S071,C002144,3,4.48,0,13.44,7.82,5.62
0RD00000071,01-12-2023,P0188,S041,C045728,5,8.94,0.15,37.99,24.07,13.92
0RD00000072,07-02-2024,P0187,S019,C025118,1,7.66,0,7.66,4.59,3.07
0RD00000073,31-10-2023,P0107,S086,C016942,4,3.7,0.15,12.58,7.66,4.92
0RD00000074,05-12-2024,P0015,S001,C041773,3,14.87,0.2,35.69,21.64,14.05
0RD00000075,27-06-2024,P0112,S068,C031545,5,11.77,0.15,50.02,25.89,24.13
0RD00000076,23-12-2024,P0163,S074,C006110,2,12.26,0,24.52,12.41,12.11
0RD00000077,09-02-2024,P0131,S021,C037465,1,10.57,0,10.57,7.12,3.45
0RD00000078,19-03-2024,P0114,S022,C010553,3,7.85,0,23.55,14.66,8.89
0RD00000079,06-10-2024,P0118,S013,C028707,3,7.07,0.2,16.97,10.33,6.63
0RD00000080,26-05-2024,P0200,S003,C001528,5,3.38,0.2,13.52,8.99,4.53
0RD00000081,09-02-2024,P0069,S027,C027166,3,11.17,0.1,30.16,15.72,14.44
0RD00000082,24-12-2024,P0100,S042,C040090,5,3.37,0,16.85,9.68,7.17
0RD00000083,11-01-2024,P0193,S014,C031157,4,7.65,0,30.6,21.06,9.54
0RD00000084,25-10-2023,P0143,S043,C016967,1,10.2,0,10.2,6.96,3.24
0RD00000085,22-04-2024,P0077,S035,C012226,5,4.92,0.1,22.14,15.08,7.06
0RD00000086,22-08-2024,P0071,S094,C037617,5,6.55,0,32.75,18.66,14.09
0RD00000087,25-11-2024,P0017,S057,C033004,2,5.12,0,10.24,6.24,4
0RD00000088,10-12-2023,P0006,S005,C024721,3,9.96,0.1,26.89,15.88,11.01
0RD00000089,26-03-2024,P0043,S100,C017630,5,9.76,0,48.8,30.54,18.26
0RD00000090,06-07-2024,P0137,S097,C016901,1,13.99,0.15,11.89,7.63,4.26
0RD00000091,08-07-2023,P0086,S073,C032934,4,9.04,0.15,30.74,20.28,10.45
0RD00000092,24-05-2023,P0019,S063,C043800,3,10.54,0,31.62,17.7,13.92
0RD00000093,17-12-2024,P0132,S073,C000987,1,6.76,0,6.76,4.53,2.23
0RD00000094,07-01-2023,P0077,S089,C006569,1,6.76,0,6.76,4.3,2.46
0RD00000095,04-04-2023,P0175,S024,C005951,5,11.47,0,57.35,31.59,25.76
0RD00000096,08-06-2024,P0144,S066,C000327,3,9.09,0,27.27,17.82,9.45
0RD00000097,13-04-2024,P0045,S044,C035552,2,14.05,0.2,22.48,13.25,9.23
0RD00000098,02-12-2023,P0173,S039,C030377,3,11.87,0,35.61,20.72,14.89
0RD00000099,13-06-2023,P0196,S096,C007378,2,10.04,0,20.08,13.36,6.72
0RD00000100,08-09-2024,P0003,S018,C020244,4,3.67,0,14.68,9.03,5.65
0RD00000101,02-05-2023,P0139,S059,C037371,4,13,0.1,46.8,28.75,18.05
0RD00000102,10-06-2023,P0156,S012,C020177,1,10.61,0.2,8.49,5.24,3.25
0RD00000103,12-03-2023,P0176,S049,C010935,1,7.87,0.2,6.3,3.64,2.65
0RD00000104,02-12-2024,P0015,S041,C040664,3,13.3,0.2,31.92,17.1,14.82
0RD00000105,27-06-2024,P0070,S093,C001903,5,8.23,0.1,37.04,23.44,13.59
0RD00000106,22-12-2023,P0123,S038,C048479,4,8.12,0,32.48,17.83,14.65
0RD00000107,26-12-2024,P0171,S043,C031312,1,12.93,0.2,10.34,5.67,4.67
0RD00000108,02-10-2024,P0195,S063,C019110,1,12.17,0.2,9.74,6.66,3.08
0RD00000109,10-01-2024,P0119,S038,C030233,2,7.66,0,15.32,8.92,6.4
0RD00000110,20-02-2024,P0131,S046,C006709,1,11.35,0,11.35,6.62,4.73
0RD00000111,23-08-2023,P0194,S050,C015979,5,6.66,0,33.3,22.33,10.97
0RD00000112,16-01-2024,P0015,S017,C012589,1,13.14,0,13.14,7.08,6.06
0RD00000113,17-09-2023,P0023,S047,C044099,3,12.3,0.2,29.52,16.75,12.77
0RD00000114,14-06-2024,P0168,S093,C026098,2,11.57,0,23.14,12.79,10.35
0RD00000115,16-10-2024,P0095,S041,C011722,4,12.91,0,51.64,36.05,15.59
0RD00000116,11-03-2024,P0121,S082,C033225,5,9.13,0,45.65,28.57,17.08
0RD00000117,12-11-2024,P0137,S060,C000248,2,9.06,0,18.12,12.42,5.7
0RD00000118,10-12-2024,P0080,S042,C037981,5,11.69,0,58.45,34.78,23.67
0RD00000119,17-09-2023,P0138,S063,C001720,5,7.89,0.15,33.53,19.81,13.72
0RD00000120,11-04-2024,P0140,S062,C037678,4,3.38,0,13.52,8.33,5.19
0RD00000121,10-10-2023,P0082,S028,C017560,1,10.1,0,10.1,5.71,4.39
0RD00000122,15-03-2024,P0034,S041,C012898,1,9.84,0,9.84,6.1,3.74
0RD00000123,23-03-2023,P0063,S012,C042822,2,13.75,0.2,22,12.63,9.37
0RD00000124,21-07-2024,P0064,S039,C002520,1,7.24,0.15,6.15,3.5,2.65
0RD00000125,14-09-2024,P0051,S083,C036698,5,9.07,0.1,40.82,27.42,13.39
0RD00000126,20-12-2023,P0057,S066,C012574,1,8.96,0,8.96,5.94,3.02
0RD00000127,20-04-2023,P0042,S006,C034867,1,9.4,0,9.4,6.53,2.87
0RD00000128,01-08-2023,P0143,S076,C023429,1,7.03,0,7.03,4.84,2.19
0RD00000129,11-06-2024,P0006,S034,C033593,5,12.54,0.15,53.29,35.35,17.95
0RD00000130,13-02-2024,P0133,S080,C006464,3,3.61,0,10.83,5.74,5.09
0RD00000131,01-01-2024,P0043,S099,C013717,2,13.8,0,27.6,16.64,10.96
0RD00000132,07-01-2024,P0066,S060,C021684,4,10.17,0,40.68,20.45,20.23
0RD00000133,28-02-2023,P0128,S022,C023418,3,11.31,0,33.93,23.37,10.56
0RD00000134,13-06-2023,P0071,S040,C049512,3,10.75,0,32.25,21.78,10.47
0RD00000135,26-02-2023,P0056,S026,C029628,5,14.55,0,72.75,39.15,33.6
0RD00000136,26-08-2023,P0002,S047,C022653,4,3.63,0,14.52,9.18,5.34
0RD00000137,10-01-2023,P0015,S091,C014125,5,14.96,0,74.8,37.57,37.23
0RD00000138,16-04-2023,P0141,S037,C046645,4,9.21,0,36.84,22.42,14.42
0RD00000139,22-04-2023,P0009,S097,C030557,1,8.15,0,8.15,4.66,3.49
0RD00000140,27-05-2023,P0026,S084,C015753,5,6.49,0,32.45,16.35,16.1
0RD00000141,25-11-2024,P0181,S054,C038278,4,7.94,0,31.76,17.35,14.41
0RD00000142,22-06-2023,P0021,S040,C013515,4,9.36,0,37.44,21.92,15.52
0RD00000143,18-10-2023,P0059,S073,C034174,4,14.04,0.15,47.74,25.33,22.41
0RD00000144,28-09-2024,P0098,S001,C042516,3,8.48,0,25.44,13.97,11.47
0RD00000145,28-02-2023,P0126,S028,C029706,1,5.17,0.1,4.65,3.1,1.55
0RD00000146,11-07-2023,P0112,S044,C014926,4,10.44,0,41.76,22.95,18.81
0RD00000147,08-01-2023,P0066,S005,C023610,1,11.7,0,11.7,7.24,4.46
0RD00000148,02-02-2024,P0113,S046,C032632,2,4.55,0,9.1,5.74,3.36
0RD00000149,03-06-2023,P0051,S060,C024641,1,9.69,0,9.69,5.66,4.03
0RD00000150,04-09-2023,P0124,S033,C012440,3,4.22,0.1,11.39,7.09,4.3
0RD00000151,31-08-2024,P0154,S046,C021576,1,12.83,0,12.83,8.15,4.68
0RD00000152,19-05-2024,P0062,S065,C026059,4,14.62,0.1,52.63,32.95,19.68
0RD00000153,14-10-2023,P0021,S039,C043286,3,8.22,0,24.66,14.72,9.94
0RD00000154,29-11-2023,P0070,S028,C040629,3,6.86,0,20.58,13.64,6.94
0RD00000155,06-09-2023,P0063,S088,C016083,2,11.46,0.1,20.63,11.53,9.1
0RD00000156,12-04-2023,P0065,S070,C047679,1,4.75,0,4.75,3.17,1.58
0RD00000157,11-01-2023,P0012,S033,C016027,3,6.77,0.15,17.26,9.32,7.94
0RD00000158,03-05-2023,P0054,S045,C007284,1,6.72,0.15,5.71,3.64,2.08
0RD00000159,13-07-2023,P0011,S095,C035131,4,9.26,0.15,31.48,19.38,12.1
0RD00000160,27-01-2024,P0199,S067,C019177,2,9.89,0,19.78,10.82,8.96
0RD00000161,01-03-2023,P0074,S035,C003359,2,7,0,14,9.59,4.41
0RD00000162,09-01-2024,P0005,S020,C004069,4,5.15,0,20.6,12.72,7.88
0RD00000163,12-10-2023,P0005,S015,C023530,5,11.38,0,56.9,39.01,17.89
0RD00000164,19-04-2023,P0168,S004,C049445,3,11.15,0.1,30.11,17.06,13.05
0RD00000165,20-06-2023,P0092,S030,C019283,2,5.4,0.1,9.72,6.07,3.65
0RD00000166,01-05-2023,P0056,S053,C010108,3,5.45,0.1,14.72,9.43,5.28
0RD00000167,02-05-2023,P0161,S026,C021539,2,3.1,0,6.2,3.4,2.8
0RD00000168,25-11-2024,P0001,S084,C036726,4,11.94,0,47.76,26.86,20.9
0RD00000169,23-12-2024,P0129,S065,C047824,5,10.2,0.15,43.35,28.95,14.4
0RD00000170,11-01-2024,P0127,S088,C015640,2,5.4,0.15,9.18,5.03,4.15
0RD00000171,15-03-2023,P0182,S003,C034658,4,9.45,0.2,30.24,16.06,14.18
0RD00000172,28-08-2024,P0126,S036,C011462,4,3.42,0.2,10.94,7.42,3.52
0RD00000173,06-06-2024,P0106,S050,C039299,5,11.34,0,56.7,29.22,27.48
0RD00000174,23-03-2023,P0158,S087,C010158,5,5.51,0,27.55,13.84,13.71
0RD00000175,20-04-2024,P0051,S038,C028419,3,7.3,0.2,17.52,11.45,6.07
0RD00000176,31-03-2024,P0065,S056,C043251,1,3.6,0.15,3.06,2.01,1.05
0RD00000177,12-11-2024,P0196,S037,C000589,5,4.75,0,23.75,13.11,10.64
0RD00000178,26-02-2023,P0194,S059,C001440,1,4.68,0,4.68,2.8,1.88
0RD00000179,19-03-2024,P0132,S029,C037787,5,5.17,0.1,23.27,15.56,7.7
0RD00000180,09-09-2024,P0077,S093,C046448,4,7.87,0,31.48,20.57,10.91
0RD00000181,03-01-2023,P0110,S066,C038142,5,7.47,0.1,33.62,21.45,12.17
0RD00000182,11-11-2024,P0042,S026,C022161,2,7.55,0.15,12.83,7.72,5.11
0RD00000183,20-03-2024,P0007,S016,C002256,2,12.52,0,25.04,14.57,10.47
0RD00000184,27-06-2024,P0181,S077,C018106,3,5.82,0.15,14.84,9.26,5.58
0RD00000185,11-09-2023,P0070,S007,C003157,2,4.11,0,8.22,5.4,2.82
0RD00000186,20-05-2023,P0009,S026,C011847,1,5.01,0,5.01,3.25,1.76
0RD00000187,18-08-2023,P0170,S069,C046032,3,9.54,0.15,24.33,12.59,11.74
0RD00000188,16-11-2023,P0074,S036,C008518,5,5.29,0,26.45,17.16,9.29
0RD00000189,14-09-2024,P0049,S020,C015753,4,8.53,0.1,30.71,19.2,11.51
0RD00000190,24-05-2023,P0187,S041,C029549,3,4.68,0.1,12.64,7.28,5.36
0RD00000191,24-01-2023,P0162,S076,C035743,1,6.47,0,6.47,3.56,2.91
0RD00000192,27-06-2024,P0067,S046,C008657,1,4,0,4,2.76,1.24
0RD00000193,03-12-2023,P0182,S095,C012270,2,4.69,0.2,7.5,5.13,2.37
0RD00000194,06-11-2023,P0100,S031,C020512,3,12.51,0.2,30.02,20.7,9.32
0RD00000195,27-01-2023,P0110,S003,C006151,3,14.97,0,44.91,24.82,20.09
0RD00000196,30-07-2024,P0076,S094,C044367,2,6.67,0.2,10.67,5.7,4.98
0RD00000197,25-04-2024,P0184,S051,C045997,3,7.17,0.15,18.28,9.76,8.52
0RD00000198,10-06-2024,P0148,S006,C023849,2,4.92,0.1,8.86,4.92,3.94
0RD00000199,01-01-2023,P0137,S031,C027362,1,8.75,0,8.75,4.95,3.8
0RD00000200,01-03-2024,P0112,S083,C012388,3,12.36,0,37.08,21.7,15.38
0RD00000201,15-12-2023,P0102,S009,C038975,1,6.34,0.1,5.71,3.1,2.61
0RD00000202,28-05-2023,P0108,S005,C029795,1,13.08,0.15,11.12,6.25,4.86
0RD00000203,06-07-2023,P0027,S080,C026466,5,8.92,0,44.6,23.95,20.65
0RD00000204,02-05-2024,P0200,S066,C022148,3,13.66,0.2,32.78,21.92,10.87
0RD00000205,30-07-2024,P0062,S042,C043938,1,11.64,0,11.64,6.63,5.01
0RD00000206,01-12-2024,P0038,S052,C021088,4,7.84,0,31.36,20.13,11.23
0RD00000207,24-12-2023,P0067,S035,C042647,2,9.3,0,18.6,12.18,6.42
0RD00000208,27-05-2023,P0126,S016,C011063,1,8.95,0,8.95,6.16,2.79
0RD00000209,29-11-2023,P0165,S037,C038644,1,10.88,0,10.88,7.1,3.78
0RD00000210,20-04-2024,P0012,S064,C038152,2,9.87,0,19.74,12.85,6.89
0RD00000211,20-10-2023,P0200,S059,C036584,4,6.22,0.1,22.39,12.44,9.95
0RD00000212,15-04-2023,P0077,S087,C040177,2,7.88,0,15.76,9.35,6.41
0RD00000213,29-06-2023,P0055,S003,C035010,2,3.85,0.15,6.54,3.91,2.63
0RD00000214,05-02-2023,P0158,S052,C038982,3,10.8,0.15,27.54,19.17,8.37
0RD00000215,24-09-2023,P0072,S034,C028854,2,14.74,0.1,26.53,17.54,8.99
0RD00000216,08-07-2023,P0093,S026,C018930,3,13.66,0.15,34.83,20.55,14.28
0RD00000217,25-05-2024,P0092,S048,C020594,1,10.58,0,10.58,6.18,4.4
0RD00000218,04-11-2023,P0149,S062,C009255,1,13.06,0,13.06,8.38,4.68
0RD00000219,27-01-2023,P0057,S056,C020794,1,13.96,0,13.96,8.65,5.31
0RD00000220,23-05-2024,P0069,S055,C039677,4,12.06,0.1,43.42,23.22,20.2
0RD00000221,29-07-2024,P0120,S012,C028260,2,10.16,0.1,18.29,12.3,5.99
0RD00000222,03-09-2023,P0084,S024,C020282,3,10.37,0,31.11,16.15,14.96
0RD00000223,20-08-2024,P0123,S070,C048950,5,9.79,0.1,44.05,24.56,19.49
0RD00000224,27-01-2024,P0118,S060,C020818,2,12.71,0,25.42,13.4,12.02
0RD00000225,31-01-2024,P0074,S002,C033041,3,7.22,0,21.66,14.52,7.14
0RD00000226,22-03-2024,P0008,S046,C036307,4,4.11,0,16.44,9.54,6.9
0RD00000227,20-01-2023,P0145,S083,C037361,5,12.48,0,62.4,42.85,19.55
0RD00000228,28-03-2024,P0193,S053,C025236,1,9.71,0,9.71,5.21,4.5
0RD00000229,15-01-2024,P0194,S063,C024557,3,3.93,0,11.79,7.91,3.88
0RD00000230,22-08-2024,P0057,S011,C006476,5,10.91,0,54.55,27.97,26.58
0RD00000231,06-08-2023,P0052,S075,C035551,3,13.79,0.1,37.23,24.86,12.37
0RD00000232,14-03-2024,P0102,S047,C025720,3,4.96,0.15,12.65,7.42,5.23
0RD00000233,10-12-2023,P0007,S051,C041970,5,11.03,0.15,46.88,29.64,17.24
0RD00000234,03-02-2023,P0082,S050,C035102,3,12.06,0,36.18,19.57,16.61
0RD00000235,31-03-2024,P0074,S011,C042211,4,5.94,0,23.76,12.83,10.93
0RD00000236,24-09-2024,P0188,S093,C006252,3,4.24,0,12.72,7.74,4.98
0RD00000237,22-04-2023,P0152,S014,C020451,3,6.75,0.15,17.21,9.24,7.97
0RD00000238,22-10-2023,P0052,S082,C018524,1,4.2,0,4.2,2.11,2.09
0RD00000239,18-02-2023,P0002,S046,C040405,5,6.2,0.15,26.35,14.17,12.18
0RD00000240,23-12-2023,P0072,S055,C017562,2,11.92,0.2,19.07,12.35,6.72
0RD00000241,26-12-2023,P0085,S071,C031351,1,14.2,0,14.2,9.94,4.26
0RD00000242,02-12-2024,P0026,S100,C019315,1,6.78,0,6.78,4.4,2.38
0RD00000243,10-04-2024,P0186,S089,C036849,3,9.4,0,28.2,18.83,9.37
0RD00000244,18-12-2023,P0026,S052,C039462,4,14.65,0.15,49.81,29.71,20.1
0RD00000245,04-07-2024,P0158,S051,C001470,4,9.88,0,39.52,27,12.52
0RD00000246,27-08-2023,P0092,S052,C027554,3,14.7,0.15,37.48,26.2,11.29
0RD00000247,28-08-2024,P0091,S041,C015055,2,11.12,0,22.24,14.83,7.41
0RD00000248,04-06-2023,P0191,S043,C035271,5,9.06,0,45.3,28.1,17.2
0RD00000249,12-05-2024,P0195,S093,C023051,1,13.28,0,13.28,9.18,4.1
0RD00000250,28-07-2023,P0069,S095,C030675,3,6.79,0.2,16.3,9.98,6.32
0RD00000251,31-08-2023,P0046,S096,C042885,3,7.18,0.2,17.23,8.65,8.58
0RD00000252,22-05-2024,P0178,S084,C039584,4,3.27,0.1,11.77,7.7,4.07
0RD00000253,28-05-2024,P0156,S080,C001768,5,4.64,0,23.2,13.68,9.52
0RD00000254,25-05-2024,P0138,S086,C039607,5,13.7,0.1,61.65,35.47,26.18
0RD00000255,17-02-2023,P0090,S069,C040037,3,10.03,0.2,24.07,16.66,7.41
0RD00000256,07-06-2024,P0031,S056,C045528,3,8.6,0,25.8,18.04,7.76
0RD00000257,11-06-2023,P0002,S076,C025238,1,14.16,0,14.16,8.46,5.7
0RD00000258,03-09-2024,P0077,S064,C016808,2,13.81,0,27.62,17.26,10.36
0RD00000259,10-06-2023,P0155,S088,C049005,2,3.8,0,7.6,5.24,2.36
0RD00000260,16-11-2024,P0186,S096,C020409,5,4.4,0.2,17.6,11.51,6.09
0RD00000261,16-01-2023,P0177,S071,C022272,2,13.34,0.2,21.34,10.76,10.59
0RD00000262,17-07-2023,P0080,S087,C021100,3,4.77,0.15,12.16,6.67,5.5
0RD00000263,24-08-2024,P0001,S099,C030501,4,6.73,0,26.92,14.34,12.58
0RD00000264,28-11-2023,P0147,S014,C036120,3,13.78,0.1,37.21,24.11,13.1
0RD00000265,12-05-2023,P0078,S057,C020448,1,14.61,0,14.61,9.34,5.27
0RD00000266,23-05-2024,P0141,S052,C009282,5,14.95,0,74.75,51.5,23.25
0RD00000267,09-10-2024,P0185,S053,C033727,4,5.29,0.1,19.04,10.59,8.46
0RD00000268,16-09-2023,P0077,S071,C043228,3,3.95,0,11.85,5.94,5.91
0RD00000269,29-01-2023,P0067,S028,C025306,4,4.59,0,18.36,11.24,7.12
0RD00000270,22-05-2023,P0144,S074,C006206,4,9.59,0,38.36,20.3,18.06
0RD00000271,20-09-2023,P0179,S059,C038803,5,10.3,0.15,43.77,25.09,18.68
0RD00000272,16-04-2023,P0094,S066,C015899,2,14.81,0,29.62,18.13,11.49
0RD00000273,02-01-2023,P0146,S091,C005036,1,7.62,0,7.62,4.26,3.36
0RD00000274,14-05-2023,P0065,S063,C018116,3,5.47,0.15,13.95,8.71,5.24
0RD00000275,05-07-2023,P0018,S083,C012979,2,8.71,0,17.42,10.17,7.25
0RD00000276,06-08-2023,P0030,S016,C026659,5,14.57,0,72.85,47.86,24.99
0RD00000277,08-11-2023,P0012,S006,C022780,4,12.62,0.1,45.43,31.61,13.82
0RD00000278,01-07-2024,P0129,S016,C027676,2,11.26,0.1,20.27,13.01,7.26
0RD00000279,22-08-2024,P0039,S007,C015303,1,14.12,0,14.12,8.88,5.24
0RD00000280,15-07-2024,P0108,S095,C029812,4,14.77,0,59.08,31.49,27.59
0RD00000281,04-03-2024,P0173,S084,C039985,2,12.35,0.15,20.99,13.32,7.67
0RD00000282,20-12-2023,P0011,S064,C038091,5,4.34,0.2,17.36,11.67,5.69
0RD00000283,08-01-2024,P0015,S007,C034025,5,13.16,0.2,52.64,27.34,25.3
0RD00000284,09-12-2023,P0186,S077,C006416,2,8.48,0,16.96,9.55,7.41
0RD00000285,17-10-2023,P0101,S028,C015241,5,12.98,0,64.9,44.07,20.83
0RD00000286,24-04-2024,P0063,S087,C000431,3,10.37,0,31.11,17.89,13.22
0RD00000287,27-05-2024,P0098,S023,C025959,3,6.54,0,19.62,13.55,6.07
0RD00000288,16-05-2023,P0125,S067,C041527,5,9.77,0,48.85,26.9,21.95
0RD00000289,04-03-2023,P0122,S049,C028465,4,12.34,0,49.36,32.63,16.73
0RD00000290,22-05-2024,P0012,S017,C027121,5,8.22,0,41.1,26.86,14.24
0RD00000291,15-02-2024,P0025,S062,C024479,5,9.84,0.15,41.82,21.41,20.41
0RD00000292,23-02-2024,P0168,S076,C001681,4,13.06,0,52.24,32.34,19.9
0RD00000293,28-07-2024,P0167,S009,C014504,4,3.2,0,12.8,6.61,6.19
0RD00000294,04-06-2024,P0153,S090,C035820,5,12.14,0,60.7,39.25,21.45
0RD00000295,25-10-2024,P0016,S035,C003655,3,9.37,0.2,22.49,14.62,7.87
0RD00000296,22-12-2024,P0196,S079,C024611,1,10.44,0,10.44,6.11,4.33
0RD00000297,07-10-2024,P0106,S019,C013242,3,4.18,0.2,10.03,5.99,4.04
0RD00000298,19-10-2024,P0196,S058,C030413,4,12.67,0,50.68,26.09,24.59
0RD00000299,26-10-2024,P0118,S012,C020525,4,6.61,0,26.44,13.42,13.02
0RD00000300,11-12-2024,P0127,S060,C011116,4,12.26,0.1,44.14,28.87,15.27
0RD00000301,05-03-2023,P0018,S039,C004094,2,8.69,0.2,13.9,7.92,5.98
0RD00000302,13-06-2024,P0022,S010,C009531,5,10.48,0.2,41.92,25.53,16.39
0RD00000303,08-10-2024,P0195,S092,C003554,2,4.25,0,8.5,4.6,3.9
0RD00000304,03-06-2024,P0004,S002,C013205,4,10.58,0.1,38.09,23.59,14.5
